benchmark,operating_point,target_fpr,baseline,metric,ours,baseline_value,advantage,ci_lower,ci_upper,p_bootstrap,p_holm,significant_holm_0.05
mmsafety_textvqa,fpr_01,0.01,LlavaGuard,recall,0.055,0.18,-0.125,-0.19,-0.06,0.00019998000199980003,0.0007999200079992001,True
mmsafety_textvqa,fpr_01,0.01,LlavaGuard,fpr,0.013636363636363636,0.015454545454545455,0.0018181818181818195,-0.00818181818181818,0.011818181818181818,0.7128287171282872,1.0,False
mmsafety_textvqa,fpr_01,0.01,LlavaGuard,f1,0.09734513274336283,0.2845849802371541,-0.1872398474937913,-0.27948923131955566,-0.09270288666383693,9.999000099990002e-05,0.00039996000399960006,True
mmsafety_textvqa,fpr_01,0.01,LlavaGuard,auc,0.8148454545454547,0.5246863636363637,0.290159090909091,0.22172687499999993,0.356905909090909,9.999000099990002e-05,0.00039996000399960006,True
mmsafety_textvqa,fpr_01,0.01,GuardReasoner-style,recall,0.055,0.0,0.055,0.025,0.09,0.0020997900209979003,0.005699430056994301,True
mmsafety_textvqa,fpr_01,0.01,GuardReasoner-style,fpr,0.013636363636363636,0.01090909090909091,-0.0027272727272727258,-0.01181818181818182,0.006363636363636365,0.6244375562443756,1.0,False
mmsafety_textvqa,fpr_01,0.01,GuardReasoner-style,f1,0.09734513274336283,0.0,0.09734513274336283,0.045662100456621,0.15319148936170213,0.0004999500049995,0.0011998800119988001,True
mmsafety_textvqa,fpr_01,0.01,GuardReasoner-style,auc,0.8148454545454547,0.8900931818181818,-0.0752477272727271,-0.1124228409090907,-0.038706761363636384,0.0006999300069993001,0.0020997900209979003,True
mmsafety_textvqa,fpr_01,0.01,ShieldVLM,recall,0.055,0.01,0.045,0.010000000000000002,0.08,0.016698330166983303,0.016698330166983303,True
mmsafety_textvqa,fpr_01,0.01,ShieldVLM,fpr,0.013636363636363636,0.024545454545454544,0.010909090909090908,0.0,0.022727272727272724,0.0673932606739326,0.20217978202179782,False
mmsafety_textvqa,fpr_01,0.01,ShieldVLM,f1,0.09734513274336283,0.017467248908296946,0.07987788383506589,0.02143558907008275,0.1373029820926447,0.006299370062993701,0.006299370062993701,True
mmsafety_textvqa,fpr_01,0.01,ShieldVLM,auc,0.8148454545454547,0.7671340909090909,0.047711363636363746,0.0012592613636363706,0.09187318181818176,0.0400959904009599,0.0801919808019198,False
mmsafety_textvqa,fpr_01,0.01,Granite-Guardian-style,recall,0.055,0.0,0.055,0.025,0.09,0.0018998100189981002,0.005699430056994301,True
mmsafety_textvqa,fpr_01,0.01,Granite-Guardian-style,fpr,0.013636363636363636,0.0009090909090909091,-0.012727272727272726,-0.02,-0.006363636363636363,0.0011998800119988001,0.0047995200479952005,True
mmsafety_textvqa,fpr_01,0.01,Granite-Guardian-style,f1,0.09734513274336283,0.0,0.09734513274336283,0.045454545454545456,0.15319148936170213,0.00039996000399960006,0.0011998800119988001,True
